Cluster_ID,Ground_Truth,Ground_Truth_Label,Ground_Truth_Keywords,Standard_Genes,Standard_Answer,Standard_CellType,Standard_Confidence,Standard_Reasoning,Curated_Genes,Curated_Answer,Curated_CellType,Curated_Confidence,Curated_Reasoning,SingleR_Answer,Azimuth_Answer,CellTypist_Answer,GT_Major,GT_State,UsedInConfusion,Score_Standard,Score_Curated,Score_CellTypist,Score_SingleR,Score_Azimuth
CD4.c01.Tn.TCF7,CD4_Tn.Naive,CD4_Tn.Naive,"TCF7, LEF1, CCR7",RPL32;RPL11;RPL13;RPL30;RPS12;RPS8;RPS27A;RPS14;RPS3A;RPL19;RPL10;RPS13;RPL29;RPL18A;RPL18;RPL5;EEF1B2;RPS3;RPS23;RPS6;EEF1A1;RPL3;RPS18;RPS25;RPL22;RPL9;RPS15A;RPL8;RPL14;RPL12;RPS4X;RPL21;RPS5;RPS10;RPL10A;RPL6;RPL34;RPS7;RPL26;RPL35A;RPL24;NACA;RPS15;MALAT1;RPLP2;TPT1;RPL28;RPL7;RPL39;RPS28,Low-quality cell,Low-quality cell,High,"The gene list is overwhelmingly dominated by ribosomal protein genes (RPL/RPS) and other translation-related genes (e.g., EEF1A1, TPT1), along with the common lncRNA MALAT1. This signature lacks any specific lineage markers and is characteristic of stressed or low-quality cells, a common artifact in single-cell RNA-seq.",KLF2;TXNIP;SELL;TCF7;LEF1;LTB;CCR7;PLAC8;AREG;MAL;SCML1;FAAH2;S1PR1;CD55;TSHZ2;RASGRP2;TAF4B;TRABD2A;SATB1;C1orf228;MARCKSL1;SGK1;GIMAP4;FXYD7;SESN3;NGFRAP1;ACTN1;ICAM2;ANKRD55;ARRDC2;IFNGR2;AIF1;LYPD3;PASK;CXCR5;SESN1;TCEA3;IER3;ID3;TTC39C-AS1;PLK2;AC022182.3;KLF5,Naive T cell,Naive T cell,High,"The gene list includes a canonical signature for naive T cells, including high expression of transcription factors KLF2, TCF7, and LEF1, as well as key lymph node homing receptors SELL (CD62L), CCR7, and S1PR1.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,Naive,True,0.0,1.0,0.7,0.7,0.7
CD4.c02.Tn.PASK,CD4_Tn.Naive,CD4_Tn.Naive,"TCF7, LEF1, CCR7",PABPC1;JUNB;NR4A2;RPS3A;CCR7;SLC2A3;FYB;SARAF;YPEL5;SESN3;EEF1A1;RPL3;EZR;RPS6;FAAH2;RNASET2;IL6ST;EEF2;ZNF331;CD28;SRGN;MALAT1;RPL13;SF1;EEF1G;SOCS3;RPL9;RPL19;BTG2;PER1;NR3C1;RPS5;TNFSF8;RPL7;SELL;INPP4B;WDR74;CMTM8;MT-ATP6;RPL5;GPCPD1;ANKRD12;FCMR;RPL10;FAM177A1;GPR183;IL6R;RPL13A;FOXP1;RNF19A,Early Activated T cell,Early Activated T cell,High,"The gene list shows a strong signature of T-cell activation, with numerous immediate-early genes (JUNB, NR4A2, SOCS3, BTG2) and a high abundance of ribosomal protein transcripts (RPL/RPS genes). The presence of CCR7 and SELL suggests a naive or central memory origin, consistent with a T cell in the early phases of activation within a secondary lymphoid organ.",NR4A2;CCR7;SESN3;FAAH2;ZNF331;SELL;WDR74;GPR183;TCF7;PASK;TSHZ2;LEF1;GK;CCR4;NR4A3;BCAS2;ZFP36L2;LDHB;NPM1;CD55;CXCR5;CHMP1B;ZFP36;SATB1;RGCC;SFPQ;NAP1L1;DUSP1;KLRB1;TIGIT;MAL;SESN1;ARRDC2;ACTN1;KLF3;HNRNPA1;ICAM2;S1PR1;CD27;TBC1D4;TOX2;PIM2;SOD2;SMARCA2;NAF1;ANKRD55;NEAT1;DDX21;CDKN1A;CITED2,T follicular helper cell,T follicular helper cell,High,"High confidence based on the expression of the canonical Tfh marker CXCR5, the key transcription factor TOX2, and supporting markers like GPR183. The co-expression of naive/central memory markers such as CCR7, SELL, TCF7, and LEF1 suggests a circulating or precursor Tfh phenotype.",Follicular helper T cells,CD4 TCM,Regulatory T cells,T,Naive,True,0.7,0.7,0.7,0.7,0.7
CD4.c03.Tn.ADSL,CD4_Tn.Naive,CD4_Tn.Naive,"TCF7, LEF1, CCR7",TCF7;RPS8;RPS6;RPL11;RPS5;RPL5;RPL18A;CCR7;KLF2;RPS2;RPS18;LEF1;RPL4;LDHB;RPL10A;RPSA;RPL13;RPL29;RPL7;RPS12;RPL19;EEF1A1;RPL3;GNB2L1;RPS9;RPS7;RPS4X;RPS10;RPS23;RPS3A;RPL15;RPS3;EEF1B2;RPL7A;RPLP0;EEF2;RPL12;RPL6;RPS15A;RPS14;EIF3F;RPL28;RPS13;S1PR1;SH3BP5;RPL17;LTB;EEF1G;DENND2D;RPL27,Naive T cell,Naive T cell,High,"The gene list includes the canonical markers for naive T cells, including the transcription factors TCF7 and LEF1, and the homing receptors CCR7 and S1PR1. The high expression of numerous ribosomal protein genes is also characteristic.",TCF7;CCR7;KLF2;LEF1;LDHB;S1PR1;SH3BP5;LTB;CNN2;LIMD2;LIME1;GIMAP4;HMGA1;PLAC8;RASGRP2;ADSL;SESN3;ICAM2;ANXA1;CTSL;CD69;C1QBP;NME2;CORO1A;ZFP36L2;AREG;TIMP1;RIPK2;CD27;MRPL14;CD55;ANKRD55;GTF3A;ARPC5;LIMS2;SGK1;MAL;C16orf13;DUSP5;KLF3;ARPC1B;NPM1;RBM3;AQP3;PASK;FAAH2;H2AFY;CORO1B;APEX1;UQCRH,Naive T cell,Naive T cell,High,"The gene list shows strong expression of canonical naive and lymphoid-homing markers such as TCF7, CCR7, KLF2, LEF1, and S1PR1. There is a concurrent lack of markers for T cell activation, cytotoxicity (Granzymes, PRF1), or terminal differentiation.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,Naive,True,1.0,1.0,0.7,0.7,0.7
CD4.c04.Tn.il7r,CD4_Tn.Naive,CD4_Tn.Naive,"TCF7, LEF1, CCR7",RPS8;RPS13;RPS2;LDHB;RPS17;RPS18;NPM1;RPL35;RPS23;RPL32;RPLP0;RPL22;RPS6;RPL27;EEF1B2;RPL8;RPLP2;RPSA;RPL36;RPL14;RPL5;RPL37A;RPL12;ZFAS1;RPS5;PTMA;RPL31;RPL36A;RPS15;HSP90AB1;TUBB;RPL41;RPL23A;TUBA1B;RPL7;HMGN2;HNRNPA1;C1QBP;RPL37;NME2;LSM5;RPL29;SNRPD2;RPL7A;RPL35A;PAICS;RPL11;RPS21;LYAR;STMN1,Unidentified cell (Proliferating),Unidentified cell (Proliferating),Low,"The gene list is overwhelmingly dominated by ribosomal protein genes (RPS/RPL family) and markers associated with high metabolic activity and proliferation (e.g., STMN1, TUBA1B, TUBB, NPM1). This signature is indicative of a cell state rather than a specific lineage. There is a complete absence of canonical markers to define any specific cell lineage (e.g., T cell, B cell, myeloid, epithelial).",LDHB;NPM1;TUBB;HMGN2;HNRNPA1;C1QBP;NME2;LSM5;PAICS;LYAR;STMN1;NME1;SNRPF;PPA1;TRAP1;SNRPE;MRPL4;BOP1;TOMM40;SRM;MIF;MYBL2;C19orf48;NHP2;CCT8;UBE2S;AK2;TIMM13;CCNB2;CCT5;MKI67;SNRPD3;PRDX1;EXOSC5;POLD2;NUCKS1;HNRNPAB;IMPDH2;SRSF3;CENPH;BOLA3;CHEK1;PAM16;SH3BP5;MRPS35;H2AFX;HMGA1;FAM207A;TUFM;SLC25A5,T cell (proliferating),T cell (proliferating),Medium,"The gene list is dominated by strong, canonical proliferation and cell cycle markers (MKI67, CCNB2, STMN1, MYBL2), but lacks specific markers to further resolve the T cell subtype. The lineage is assigned based on the provided context.",T regulatory cells,CD4 Proliferating,Tem/Effector helper T cells,T,Naive,True,0.0,0.7,0.7,0.0,0.7
CD4.c05.Tm.TNF,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",MT-ND2;CCL5;GZMA;MT-CYB;CD52;MYL12A;CD40LG;MT-CO1;SH3BGRL3;MT-ND5;TXNIP;MALAT1;CD69;MT-ATP6;MT-CO2;MT-CO3;MT-ND4L;CD99;MT-ND1;C9orf142;CAPG;HCST;CD2;TRAF3IP3;CLIC1;RAC2;MT-ND4;PTPRCAP;RARRES3;CD3E;CKLF;CD3G;GSTK1;SCML4;EMP3;LCP1;ZYX;S100A4;SIT1;IFITM1;CD3D;RGS19;CORO1A;S100A6;CNN2;DENND2D;ACTG1;HLA-F;MT-ATP8;TBC1D10C,Effector T cell (High-Mito),Effector T cell (High-Mito),High,"The gene list shows strong expression of canonical T-cell markers (CD3D, CD3E, CD3G, CD2), activation markers (CD69), and effector molecules associated with cytotoxicity and inflammation (GZMA, CCL5). The prominent signature of numerous mitochondrial genes (MT-*) indicates a high metabolic state, characteristic of activated effector lymphocytes.",CCL5;GZMA;TXNIP;CD69;S100A4;CNN2;CCL4;LGALS1;HOPX;GIMAP4;GZMH;ID2;CISH;IFNG;CXCR3;TNF;GZMK;LIME1;KLRB1;APOBEC3C;MATK;XCL1;KLRG1;CFH;SLFN5;ANXA1;XCL2;TIMP1;ARL2;NKG7;AC092580.4;PRF1;CTSW;SH3BP5;MS4A1;GPR25;CLU;BCL2A1;EGR1;TESC;PLEK;NUCB2;IGFBP3;RP5-1028K7.2;LYZ;ZNF683;IL2;FASLG;GZMB;EOMES,CD8+ Temra T cell,CD8+ Temra T cell,High,"The gene list shows a strong cytotoxic signature with high expression of GZMB, PRF1, NKG7, and IFNG. The presence of KLRG1, a marker for terminal differentiation and senescence, combined with these effector molecules, is the canonical signature of a CD8+ T effector memory re-expressing CD45RA (Temra) cell.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,EffMem,True,1.0,1.0,1.0,0.7,1.0
CD4.c06.Tm.ANXA1,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",RPS12;RPL10;EEF1A1;RPS27A;RPL13;RPS3;RPL11;RPL19;TPT1;RPL30;RPS13;RPL32;RPL3;PABPC1;RPL14;RPS3A;RPS14;RPS8;RPL21;RPS23;IL7R;RPS4X;RPS6;RPS18;RPS5;RPL5;RPL18A;RPS10;RPL18;RPLP1;RPL9;RPL8;RPL29;EEF1B2;RPL34;CCR7;RPS25;RPLP2;RPL17;CD55;FTH1;RPS2;RPS9;RPS15A;RPL6;KLF2;RPL22;RPS7;RPL10A;RPL12,Naive T cell,Naive T cell,High,"The gene list includes the canonical markers for naive T cells: IL7R (CD127), CCR7, and the quiescence-associated transcription factor KLF2. The remaining highly expressed genes are predominantly ribosomal proteins, which are common but do not contradict this classification.",CCR7;CD55;KLF2;ANXA1;ZFP36L2;ZFP36;LMNA;RGCC;GPR183;CDKN1A;KLF3;LTB;LDHB;ZNF331;AREG;ICAM2;S1PR1;SOD2;TOB1;NR4A2;CCR6;VIM;TCF7;MARCKSL1;DDIT4;CHMP1B;NPM1;CITED2;DDX21;SATB1;PTGER2;PLAC8;WDR74;RASGRP2;MYC;AQP3;PLAUR;DPP4;ARRDC2;ODC1;DUSP1;RIPK2;DUSP5;TUBA4A;MAL;CD69;HNRNPA1;TAF4B;BCAS2;LEF1,Early Activated T cell,Early Activated T cell,High,"The cell expresses a strong signature of naive or central memory T cells (CCR7, LEF1, TCF7, KLF2, S1PR1) combined with canonical markers of recent or early activation (CD69, NR4A2, DUSP1, MYC). This co-expression profile is characteristic of a T cell that has recently been stimulated.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,EffMem,True,0.7,1.0,1.0,0.7,1.0
CD4.c07.Tm.ANXA2,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",S100A11;S100A4;PFN1;SH3BGRL3;EMP3;S100A10;S100A6;LGALS1;ACTB;COTL1;TMSB4X;MYL6;TMSB10;VIM;ACTG1;KLF2;ANXA2;CFL1;TIMP1;FLT3LG;CD52;MYL12A;ARPC3;CAPZB;CAPG;ARHGDIB;IFITM2;MYL12B;CD99;PPIA;CRIP1;LDHB;CORO1A;CNN2;ANXA1;GAPDH;NME2;PLP2;AES;SLC25A5;ARPC2;IFITM1;PSME1;ARPC1B;FLNA;FXYD5;TXN;CTSH;ITGB7;ANXA5,Dendritic cell (ISG-high),Dendritic cell (ISG-high),High,"The gene list shows a strong myeloid signature with S100 proteins (S100A4, S100A6, S100A11) and Annexins (ANXA1, ANXA2). The presence of FLT3LG is a key marker associated with dendritic cell development and differentiation. Additionally, the high expression of cytoskeletal genes (VIM, PFN1, ACTB) reflects the motile and antigen-presenting nature of these cells. IFITM1 and IFITM2 indicate a strong interferon-stimulated gene (ISG) signature.",S100A4;S100A6;LGALS1;COTL1;VIM;KLF2;ANXA2;TIMP1;LDHB;CORO1A;CNN2;ANXA1;NME2;SLC25A5;ARPC1B;FLNA;TXN;CTSH;ANXA5;C12orf75;PSME2;ARPC5;LIME1;S1PR1;GSTP1;ITGB1;NDUFB3;YBX1;CHCHD2;RBM3;CARHSP1;ATP5J2;POMP;CTSL;TPM4;CD74;DUT;H2AFV;PDCD5;STRA13;TFDP1;NDUFS6;CDC25B;DSTN;MIF;LSM3;LGALS3;GIMAP4;ATP5G3;AQP3,Central Memory T cell,Central Memory T cell,High,"The gene list includes key markers for recirculation and lymphoid homing, such as S1PR1 and KLF2, which are characteristic of naive or central memory T cells. The concurrent high expression of activation, metabolic, and cytoskeletal genes (e.g., S100A4, S100A6, LDHB, VIM) points towards a memory phenotype rather than a quiescent naive state, strongly indicating a Central Memory T cell.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,EffMem,True,0.0,1.0,1.0,0.7,1.0
CD4.c08.Tm.CREM,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",ZFP36;ZFP36L2;CXCR4;MCL1;SRGN;TSC22D3;ANXA1;RGCC;MYADM;SARAF;BTG1;DUSP2;SYTL3;FTH1;PFKFB3;PARP8;SAMSN1;LEPROTL1;PDE4B;YPEL5;LMNA;FAM177A1;PER1;IL7R;TNFAIP3;LINC-PINT;CDKN1A;AIM1;ADGRE5;MT-ND3;JUNB;PTGER4;CSRNP1;EIF1;FAM46C;NR4A2;CCL5;PBX4;BRD2;PNRC1;CCNH;MT-CO1;EZR;AHNAK;SELK;MT-CO3;ZNF331;IFNGR1;TUBB4B;CREM,CD8+ exhausted T cell,CD8+ exhausted T cell,High,"The gene list contains markers for T cells (IL7R, CXCR4), cytotoxic function (CCL5, SRGN), and key transcription factors and genes strongly associated with T cell activation and exhaustion (NR4A2, JUNB, ZFP36, CREM).",ZFP36;ZFP36L2;ANXA1;RGCC;DUSP2;LMNA;CDKN1A;NR4A2;CCL5;ZNF331;KLF6;RGS1;KLRB1;GPR183;CD55;SLC7A5;VIM;NR4A3;DDIT4;ODC1;TUBA4A;CXCR6;PDCL3;CD69;DUSP5;GZMA;CCL4;LDHA;RASGEF1B;AREG;CLEC2B;NCL;BCAS2;PERP;SRSF2;TOB1;INSIG1;GLUL;GZMH;CHMP1B;CITED2;CCR6;SPON2;PDCD1;PDE4D;CXCR3;GZMK;ANKRD37;ERRFI1;DPP4,CD8+ exhausted T cell,CD8+ exhausted T cell,High,"The cell expresses key markers of T cell exhaustion (PDCD1, NR4A2, NR4A3, TOB1) alongside cytotoxic effector molecules (GZMA, GZMH, GZMK) and activation markers (CD69), which is the canonical signature of an exhausted CD8+ T cell.",Th1/Th17 cells,CD4 TEM,Tem/Effector helper T cells,T,EffMem,True,0.7,0.7,1.0,0.7,1.0
CD4.c09.Tm.CCL5,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",CCL5;RPS27;CD40LG;ANXA1;ZFP36L2;GZMA;RPS29;AC090498.1;ZFP36;BTG1;RPL30;CD69;CXCR4;FAU;CCL4;RPL35A;IL7R;RPS21;RPL39;PARP8;TSC22D3;RPS28;PNRC1;CST7;RPL34;S100A10;RPL38;ALOX5AP;RPS14;TOMM7;CD99;RPLP2;AHNAK;RPL28;RPL37A;KLF6;TNFAIP3;RPS19;MT-ND3;PTGER4;SAMSN1;MCL1;RPS25;IFNGR1;RPL21;GLUL;RPS15A;DUSP2;CD96;RPS12,Activated CD8+ T cell,Activated CD8+ T cell,High,"The gene list shows a strong signature for T cell activation, including immediate early genes like ZFP36, BTG1, and DUSP2, alongside the classic activation marker CD69. Furthermore, the presence of key cytotoxic markers such as GZMA, CST7, and CCL5 strongly indicates a CD8+ cytotoxic T cell lineage.",CCL5;ANXA1;ZFP36L2;GZMA;ZFP36;CD69;CCL4;CST7;KLF6;GLUL;DUSP2;DUSP1;RGCC;GZMK;GZMH;TXNIP;AC092580.4;NR4A2;RGS1;PRDM1;HOPX;ID2;KLRB1;ATP5E;XCL1;TAGAP;PERP;DUSP5;SPON2;CXCR6;RASGEF1B;HLA-DRB1;IFNG;VIM;IL2;PRF1;GZMB;CLU;CCL4L2;XCL2;AREG;GYG1;NLRP3;CTSW;DPP4;ZEB2;AC131056.3;MATK;SPRY1;MAFF,CD8+ exhausted T cell,CD8+ exhausted T cell,High,"The cell expresses a strong cytotoxic signature (GZMA, GZMB, GZMH, PRF1, IFNG, CST7) alongside key transcription factors and regulatory molecules associated with T cell exhaustion (NR4A2, PRDM1, HOPX, ID2, ZEB2). This co-expression of effector function and exhaustion programs is the hallmark of this cell state.",Th1/Th17 cells,CD4 TEM,Type 1 helper T cells,T,EffMem,True,1.0,0.7,0.7,0.7,1.0
CD4.c10.Tm.CAPG,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",SH3BGRL3;TMSB4X;PFN1;CAPG;MYL12B;MYL12A;ACTB;CFL1;LCP1;S100A11;LAPTM5;VIM;BHLHE40;MSN;MYL6;ANXA1;CD6;MCL1;CAPZB;CD99;CORO1A;MYH9;PSME1;GZMA;COTL1;CD52;ARPC3;ARPC2;CLIC1;HLA-C;ADGRE5;GUK1;RARRES3;TPM4;CAP1;CIB1;PSME2;GAPDH;IL2RG;FLT3LG;S100A4;CYBA;PGK1;RAC2;ZYX;ANXA2;ARPC1B;ITGB7;ENO1;OSTF1,Cytotoxic T cell,Cytotoxic T cell,High,"The gene list is strongly enriched for markers of cytotoxicity (GZMA), T-cell lineage (CD6, IL2RG), and a highly active actin cytoskeleton (ACTB, PFN1, RAC2, CORO1A), which is characteristic of motile, effector cytotoxic T lymphocytes.",VIM;ANXA1;CORO1A;GZMA;COTL1;TPM4;PSME2;S100A4;ANXA2;ARPC1B;ENO1;PDE4D;CNN2;GPR183;PERP;S100A6;STAT1;KLRB1;ARPC5;HOPX;LGALS3;CD3D;CLEC2B;ATP5G3;CTSH;CCL5;RBM3;DPP4;LDLRAD4;CTSL;SLC7A5;AQP3;FLNA;ID2;LDHA;RGCC;ZFP36L2;CXCR6;CD3G;ZFP36;GNA15;LMNA;TBCC;CXCR3;TIMP1;PGAM1;KIAA0319L;DBNL;ANXA5;LMO4,CD8+ Tissue-Resident Memory T cell,CD8+ Tissue-Resident Memory T cell,High,"The gene list includes core T-cell markers (CD3D, CD3G), strong cytotoxic effector markers (GZMA, CCL5), and key markers for tissue-resident memory T cells (Trm), notably CXCR6 and ID2. The combination of these markers strongly points to a cytotoxic, tissue-homing memory T-cell population.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,EffMem,True,1.0,1.0,1.0,0.7,1.0
CD4.c11.Tm.GZMA,CD4_Tm.EffMem,CD4_Tm.EffMem,"IL7R, CCR7, SELL",CCL5;GZMA;SH3BGRL3;CCL4;CD52;TMSB4X;HCST;GZMH;CD99;CST7;ANXA1;HOPX;ALOX5AP;IFITM2;S100A4;CRIP1;CXCR6;CLIC1;LSP1;RARRES3;CD63;CTSD;CFL1;S100A10;MYL12A;CD6;CORO1A;CAPG;BHLHE40;CKLF;ACTB;GZMB;S100A6;APOBEC3G;GLUL;MYL12B;GLIPR2;ANXA2;SCML4;B2M;GZMK;ID2;VIM;PDCD1;ERN1;ARPC3;ITGB2;PRF1;S100A11;PSME1,CD8+ exhausted T cell,CD8+ exhausted T cell,High,"The gene list shows a canonical signature for cytotoxic T cells, including multiple granzymes (GZMA, GZMB, GZMH, GZMK) and perforin (PRF1). The co-expression of the key exhaustion marker PDCD1 (PD-1) strongly indicates an exhausted state.",CCL5;GZMA;CCL4;GZMH;CST7;ANXA1;HOPX;S100A4;CXCR6;CORO1A;GZMB;S100A6;GLUL;ANXA2;GZMK;ID2;VIM;PDCD1;PRF1;LGALS1;DUSP2;IFNG;CXCR3;GNLY;GYG1;ZFP36L2;NKG7;LAG3;HLA-DRB5;PERP;CD4;APOBEC3C;TUBA4A;COTL1;HLA-DRB1;PSME2;PTMS;FLNA;OASL;KLRB1;TXN;ARPC5;CITED2;PSMA7;CCL4L2;C12orf75;ATP5E;AC092580.4;CNN2;CLEC2B,Exhausted CD4+ Cytotoxic T cell,Exhausted CD4+ Cytotoxic T cell,High,"The cell expresses CD4 alongside a very strong cytotoxic signature (GZMA, GZMB, GZMH, PRF1, GNLY, NKG7). The co-expression of canonical exhaustion markers PDCD1 and LAG3, as well as activation markers like HLA-DRB1/5 and IFNG, points to a terminally differentiated, exhausted cytotoxic CD4+ T cell.",Th1/Th17 cells,CD4 TCM,Tem/Effector helper T cells,T,EffMem,True,0.7,0.7,1.0,0.7,1.0
