cluster,Ground_Truth,n_top,non_identity_category,count,fraction
CD8.c01.Tn.MAL,CD8_Naive,10,Housekeeping (Low Gini),1,0.1
CD8.c01.Tn.MAL,CD8_Naive,10,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,10,State Noise (Cell cycle / stress / IFN / MHC / sex),1,0.1
CD8.c01.Tn.MAL,CD8_Naive,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c01.Tn.MAL,CD8_Naive,10,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,10,Tech Noise (Mito/Ribo),3,0.3
CD8.c01.Tn.MAL,CD8_Naive,10,Lineage Noise (TCR/Ig),0,0
CD8.c01.Tn.MAL,CD8_Naive,10,Other / uncategorized noise,0,0
CD8.c01.Tn.MAL,CD8_Naive,20,Housekeeping (Low Gini),1,0.05
CD8.c01.Tn.MAL,CD8_Naive,20,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,20,State Noise (Cell cycle / stress / IFN / MHC / sex),2,0.1
CD8.c01.Tn.MAL,CD8_Naive,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c01.Tn.MAL,CD8_Naive,20,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,20,Tech Noise (Mito/Ribo),3,0.15
CD8.c01.Tn.MAL,CD8_Naive,20,Lineage Noise (TCR/Ig),0,0
CD8.c01.Tn.MAL,CD8_Naive,20,Other / uncategorized noise,0,0
CD8.c01.Tn.MAL,CD8_Naive,30,Housekeeping (Low Gini),1,0.033333333
CD8.c01.Tn.MAL,CD8_Naive,30,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,30,State Noise (Cell cycle / stress / IFN / MHC / sex),2,0.066666667
CD8.c01.Tn.MAL,CD8_Naive,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c01.Tn.MAL,CD8_Naive,30,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,30,Tech Noise (Mito/Ribo),4,0.133333333
CD8.c01.Tn.MAL,CD8_Naive,30,Lineage Noise (TCR/Ig),0,0
CD8.c01.Tn.MAL,CD8_Naive,30,Other / uncategorized noise,0,0
CD8.c01.Tn.MAL,CD8_Naive,50,Housekeeping (Low Gini),1,0.02
CD8.c01.Tn.MAL,CD8_Naive,50,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,50,State Noise (Cell cycle / stress / IFN / MHC / sex),3,0.06
CD8.c01.Tn.MAL,CD8_Naive,50,Ubiquitous Program (Translation / Histone),0,0
CD8.c01.Tn.MAL,CD8_Naive,50,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,50,Tech Noise (Mito/Ribo),6,0.12
CD8.c01.Tn.MAL,CD8_Naive,50,Lineage Noise (TCR/Ig),0,0
CD8.c01.Tn.MAL,CD8_Naive,50,Other / uncategorized noise,0,0
CD8.c01.Tn.MAL,CD8_Naive,100,Housekeeping (Low Gini),2,0.02
CD8.c01.Tn.MAL,CD8_Naive,100,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,100,State Noise (Cell cycle / stress / IFN / MHC / sex),6,0.06
CD8.c01.Tn.MAL,CD8_Naive,100,Ubiquitous Program (Translation / Histone),0,0
CD8.c01.Tn.MAL,CD8_Naive,100,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,100,Tech Noise (Mito/Ribo),7,0.07
CD8.c01.Tn.MAL,CD8_Naive,100,Lineage Noise (TCR/Ig),1,0.01
CD8.c01.Tn.MAL,CD8_Naive,100,Other / uncategorized noise,0,0
CD8.c01.Tn.MAL,CD8_Naive,200,Housekeeping (Low Gini),3,0.015
CD8.c01.Tn.MAL,CD8_Naive,200,Uninformative IDs / predicted loci,0,0
CD8.c01.Tn.MAL,CD8_Naive,200,State Noise (Cell cycle / stress / IFN / MHC / sex),15,0.075
CD8.c01.Tn.MAL,CD8_Naive,200,Ubiquitous Program (Translation / Histone),1,0.005
CD8.c01.Tn.MAL,CD8_Naive,200,Hemo / contamination flag,0,0
CD8.c01.Tn.MAL,CD8_Naive,200,Tech Noise (Mito/Ribo),8,0.04
CD8.c01.Tn.MAL,CD8_Naive,200,Lineage Noise (TCR/Ig),6,0.03
CD8.c01.Tn.MAL,CD8_Naive,200,Other / uncategorized noise,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Housekeeping (Low Gini),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Uninformative IDs / predicted loci,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,State Noise (Cell cycle / stress / IFN / MHC / sex),2,0.2
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Ubiquitous Program (Translation / Histone),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Hemo / contamination flag,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Tech Noise (Mito/Ribo),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Lineage Noise (TCR/Ig),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,10,Other / uncategorized noise,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Housekeeping (Low Gini),1,0.05
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Uninformative IDs / predicted loci,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,State Noise (Cell cycle / stress / IFN / MHC / sex),3,0.15
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Ubiquitous Program (Translation / Histone),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Hemo / contamination flag,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Tech Noise (Mito/Ribo),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Lineage Noise (TCR/Ig),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,20,Other / uncategorized noise,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Housekeeping (Low Gini),1,0.033333333
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Uninformative IDs / predicted loci,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,State Noise (Cell cycle / stress / IFN / MHC / sex),3,0.1
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Ubiquitous Program (Translation / Histone),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Hemo / contamination flag,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Tech Noise (Mito/Ribo),2,0.066666667
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Lineage Noise (TCR/Ig),0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,30,Other / uncategorized noise,0,0
CD8.c02.Tm.IL7R,CD8_EffectorMemory,50,Housekeeping (Low Gini),2,0.04
