label,gene,log2FC,delta_det,AUROC
Tumor (Basal/ISG),KRT5,2.132186469967057,0.0,0.9539768141463058
Tumor (Basal/ISG),KRT14,2.223759177622667,0.0,0.943429451904028
Tumor (Basal/ISG),TP63,2.1341259936375527,0.09199134199134196,0.8217587497248514
Tumor (Basal/ISG),TOP2A,1.9654212407811784,0.13095238095238093,0.6775808936825886
Tumor (Basal/ISG),IFIT1,2.6427065131459875,0.5210213515298261,0.7344449335974759
Tumor (Basal/ISG),MX1,2.3304196874355525,0.08982683982683981,0.777643260694108
Tumor (Basal/ISG),STAT1,2.205127321079177,0.05627705627705626,0.8487966835424463
Tumor (Basal/ISG),HIF1A,1.9767901498732543,0.12662337662337664,0.7501100594320934
Tumor (Basal/ISG),VEGFA,1.555860417001427,0.40116662998018926,0.6206434808129724
Tumor (Basal/ISG),CA9,0.9637032753341626,0.1377210360261208,0.5613397901533494
Tumor (Basal/ISG),SLC2A1,1.891314738635703,0.3917748917748918,0.6786814880035219
Tumor (Basal/ISG),LAMC2,1.7928938510204389,0.0043290043290042934,0.7623633428718175
Tumor (Basal/ISG),TNC,1.0343098729635936,0.0,0.1271003008291144
Tumor (Basal/ISG),PDPN,1.9986860248162104,0.04112554112554112,0.8116149387335828
Tumor (Basal/ISG),ITGA5,1.4688955794781968,0.07251082251082253,0.538795949812899
Tumor (Basal/ISG),VIM,1.259661373157661,0.0043290043290042934,0.34965881576051067
Tumor (Basal/ISG),FN1,1.4850485705145655,0.0,0.5532687651331719
Tumor (Basal/ISG),MMP9,1.587966327076436,0.11038961038961037,0.5433817594834545
Tumor (Basal/ISG),ACTA2,-1.1042093374163058,-0.10167657201555513,0.09075317338029203
Tumor (Basal/ISG),COL1A1,0.5659220010070312,0.0,0.10901386748844376
Tumor (Basal/ISG),TAGLN,1.1157200760089732,0.02705627705627711,0.3362957663805122
Tumor (Mesenchymal/Hypoxic),KRT5,0.6148727145396293,0.0,0.5536130536130537
Tumor (Mesenchymal/Hypoxic),KRT14,0.4076071924777094,0.0,0.48247729282212043
Tumor (Mesenchymal/Hypoxic),TP63,0.5561802696199711,0.08881922675026122,0.49578008198697854
Tumor (Mesenchymal/Hypoxic),TOP2A,0.9968103652474968,0.12643678160919536,0.6118077324973876
Tumor (Mesenchymal/Hypoxic),IFIT1,0.11416363999629846,0.03098625512418615,0.5072542400128607
Tumor (Mesenchymal/Hypoxic),MX1,0.6373201563502134,0.0867293625914316,0.4920625351659834
Tumor (Mesenchymal/Hypoxic),STAT1,0.8221403884782797,0.0543364681295716,0.5979020979020979
Tumor (Mesenchymal/Hypoxic),HIF1A,0.7735326842653582,0.12225705329153602,0.5581142994936098
Tumor (Mesenchymal/Hypoxic),VEGFA,1.6592009764997766,0.343139619001688,0.6874447391688772
Tumor (Mesenchymal/Hypoxic),CA9,1.6994851663886728,0.24479543445060686,0.6164697371593924
Tumor (Mesenchymal/Hypoxic),SLC2A1,1.198078609962505,0.2992524716662648,0.654248050799775
Tumor (Mesenchymal/Hypoxic),LAMC2,1.1962151544351338,0.004179728317659337,0.8028695442488546
Tumor (Mesenchymal/Hypoxic),TNC,0.8055149338019907,0.0,0.38867454384695765
Tumor (Mesenchymal/Hypoxic),PDPN,0.6467765994654194,0.03970741901776387,0.4726710071537658
Tumor (Mesenchymal/Hypoxic),ITGA5,1.186793845270275,0.07001044932079414,0.7088658467968812
Tumor (Mesenchymal/Hypoxic),VIM,1.3349785796411444,0.004179728317659337,0.8476810545776063
Tumor (Mesenchymal/Hypoxic),FN1,1.1375729020821337,0.0,0.8572462020737882
Tumor (Mesenchymal/Hypoxic),MMP9,1.0386511802887493,0.10658307210031348,0.5653886343541517
Tumor (Mesenchymal/Hypoxic),ACTA2,0.6370660462493114,0.05851619644723094,0.3768185837151355
Tumor (Mesenchymal/Hypoxic),COL1A1,1.3637200892969057,0.0,0.7154569568362672
Tumor (Mesenchymal/Hypoxic),TAGLN,1.3399891572459501,0.02612330198537094,0.7572542400128607
Tumor (p-EMT/Hypoxic),KRT5,2.4914652869321654,0.0,0.979468345575376
Tumor (p-EMT/Hypoxic),KRT14,2.942546632694427,0.0,0.9958726827562083
Tumor (p-EMT/Hypoxic),TP63,2.581513724435894,0.08919202518363067,0.9299405386498776
Tumor (p-EMT/Hypoxic),TOP2A,1.699118140434818,0.1269674711437565,0.5122420426722629
Tumor (p-EMT/Hypoxic),IFIT1,1.5182081368941385,0.30353270374256736,0.6111927247289262
Tumor (p-EMT/Hypoxic),MX1,1.5424510021440638,0.08709338929695698,0.5180132913606156
Tumor (p-EMT/Hypoxic),STAT1,1.7258905780064169,0.05456453305351516,0.5818467995802729
Tumor (p-EMT/Hypoxic),HIF1A,2.4250521718299525,0.12277019937040923,0.8522385449457853
Tumor (p-EMT/Hypoxic),VEGFA,2.2107266937877417,0.4239244491080797,0.695033228401539
Tumor (p-EMT/Hypoxic),CA9,3.624490031811943,0.5764253235396992,0.7768800279818117
Tumor (p-EMT/Hypoxic),SLC2A1,2.9725833855630555,0.3798530954879329,0.8677159846100035
Tumor (p-EMT/Hypoxic),LAMC2,2.1237699473237153,0.0041972717733472775,0.8690101434067855
Tumor (p-EMT/Hypoxic),TNC,1.2389823606875892,0.0,0.10699545295557887
Tumor (p-EMT/Hypoxic),PDPN,2.422189310782722,0.039874081846799525,0.9210563133962925
Tumor (p-EMT/Hypoxic),ITGA5,2.3946105487417477,0.07030430220356765,0.8149352920601609
Tumor (p-EMT/Hypoxic),VIM,1.5336469675163158,0.0041972717733472775,0.37380202868135715
Tumor (p-EMT/Hypoxic),FN1,2.031362759165191,0.0,0.8054564533053515
