dataset,cluster,Ground_Truth,variant,n_top_eval,marker_recall_at_n,noise_fraction_at_n,low_gini_fraction_at_n
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,10,0.125,0.9,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,10,0.375,0.5,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,10,0.75,0.0,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,10,0.875,0.0,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,20,0.25,0.9,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,20,0.625,0.6,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,20,0.875,0.05,0.05
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,20,0.875,0.0,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,30,0.375,0.8666666666666667,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,30,0.75,0.5666666666666667,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,30,0.875,0.06666666666666667,0.06666666666666667
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,30,0.875,0.0,0.0
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,50,0.5,0.88,0.02
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,50,0.875,0.5,0.02
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,50,0.875,0.04,0.04
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,50,1.0,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,10,0.5,0.1,0.1
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,10,0.5,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,regex_mask,10,0.5,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,full_core,10,0.25,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,20,0.5,0.15,0.05
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,20,0.5,0.05,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,regex_mask,20,0.5,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,full_core,20,0.25,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,30,0.5,0.23333333333333334,0.1
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,30,0.5,0.06666666666666667,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,regex_mask,30,0.5,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,full_core,30,0.25,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,standard,50,0.5,0.24,0.08
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,filter_only,50,0.5,0.08,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,regex_mask,50,0.5,0.0,0.0
CD8,CD8.c02.Tm.IL7R,CD8_EffectorMemory,full_core,50,0.25,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,standard,10,0.0,1.0,0.2
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,filter_only,10,0.125,0.3,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,regex_mask,10,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,full_core,10,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,standard,20,0.0,1.0,0.1
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,filter_only,20,0.125,0.2857142857142857,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,regex_mask,20,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,full_core,20,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,standard,30,0.0,0.9666666666666667,0.1
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,filter_only,30,0.125,0.2857142857142857,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,regex_mask,30,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,full_core,30,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,standard,50,0.125,0.84,0.06
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,filter_only,50,0.125,0.2857142857142857,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,regex_mask,50,0.125,0.0,0.0
CD8,CD8.c03.Tm.RPS12,CD8_EffectorMemory,full_core,50,0.125,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,standard,10,0.0,0.2,0.2
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,filter_only,10,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,regex_mask,10,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,full_core,10,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,standard,20,0.0,0.3,0.25
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,filter_only,20,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,regex_mask,20,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,full_core,20,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,standard,30,0.0,0.2,0.16666666666666666
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,filter_only,30,0.0,0.03333333333333333,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,regex_mask,30,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,full_core,30,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,standard,50,0.0,0.24,0.16
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,filter_only,50,0.0,0.02,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,regex_mask,50,0.0,0.0,0.0
CD8,CD8.c04.Tm.CD52,CD8_EffectorMemory,full_core,50,0.0,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,standard,10,0.375,0.2,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,filter_only,10,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,regex_mask,10,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,full_core,10,0.125,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,standard,20,0.375,0.35,0.1
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,filter_only,20,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,regex_mask,20,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,full_core,20,0.125,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,standard,30,0.375,0.26666666666666666,0.06666666666666667
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,filter_only,30,0.375,0.03333333333333333,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,regex_mask,30,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,full_core,30,0.125,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,standard,50,0.375,0.28,0.04
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,filter_only,50,0.375,0.04,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,regex_mask,50,0.375,0.0,0.0
CD8,CD8.c05.Tem.CXCR5,CD8_EffectorMemory,full_core,50,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,standard,10,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,filter_only,10,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,regex_mask,10,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,full_core,10,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,standard,20,0.25,0.1,0.05
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,filter_only,20,0.25,0.05,0.05
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,regex_mask,20,0.25,0.05,0.05
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,full_core,20,0.125,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,standard,30,0.25,0.06666666666666667,0.03333333333333333
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,filter_only,30,0.25,0.03333333333333333,0.03333333333333333
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,regex_mask,30,0.25,0.03333333333333333,0.03333333333333333
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,full_core,30,0.25,0.0,0.0
CD8,CD8.c06.Tem.GZMK,CD8_EffectorMemory,standard,50,0.375,0.1,0.06
