dataset,cluster,Ground_Truth,variant,rank,gene,is_regex_noise,is_any_noise,is_low_gini,is_canonical_marker
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,1,RPL32,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,2,IL7R,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,3,EEF1A1,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,4,RPS12,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,5,RPL11,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,6,RPL13,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,7,RPS3A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,8,RPL5,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,9,RPL19,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,10,RPS8,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,11,RPL10,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,12,CCR7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,13,RPS13,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,14,RPL18A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,15,RPS4X,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,16,RPS6,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,17,RPL14,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,18,RPL30,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,19,RPS3,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,20,RPL3,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,21,TPT1,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,22,RPS23,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,23,RPL9,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,24,KLF2,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,25,EEF1B2,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,26,RPS14,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,27,RPS5,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,28,RPS27A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,29,PABPC1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,30,RPS18,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,31,RPL29,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,32,RPL18,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,33,RPS10,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,34,RPL34,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,35,CD55,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,36,RPS25,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,37,RPLP0,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,38,RPL8,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,39,RPL22,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,40,RPLP2,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,41,RPS2,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,42,RPSA,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,43,LTB,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,44,RPL10A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,45,RPL12,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,46,GNB2L1,False,True,True,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,47,RPL21,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,48,JUNB,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,49,RPL36,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,standard,50,EEF1G,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,1,IL7R,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,2,CCR7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,3,RPL9,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,4,KLF2,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,5,EEF1B2,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,6,RPS5,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,7,PABPC1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,8,CD55,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,9,RPL22,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,10,RPSA,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,11,LTB,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,12,RPL10A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,13,RPL21,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,14,JUNB,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,15,RPL36,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,16,EEF1G,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,17,LEF1,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,18,RPL7,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,19,RPL4,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,20,FXYD5,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,21,FOS,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,22,SELL,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,23,LDHB,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,24,NDFIP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,25,EEF2,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,26,RPL13A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,27,SARAF,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,28,RPL37,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,29,RPS21,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,30,SLC2A3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,31,GPR183,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,32,RPS20,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,33,LEPROTL1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,34,SC5D,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,35,NACA,False,True,True,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,36,GLTSCR2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,37,TCF7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,38,RPL36A,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,39,ZFP36L2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,40,EIF3E,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,41,RPL38,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,42,S1PR1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,43,SNHG8,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,44,NELL2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,45,PFDN5,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,46,NPM1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,47,RPS27,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,48,RPL35,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,49,TMEM123,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,filter_only,50,RPL31,True,True,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,1,IL7R,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,2,CCR7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,3,KLF2,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,4,PABPC1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,5,CD55,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,6,LTB,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,7,LEF1,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,8,FXYD5,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,9,SELL,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,10,LDHB,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,11,NDFIP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,12,SARAF,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,13,SLC2A3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,14,GPR183,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,15,LEPROTL1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,16,SC5D,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,17,NACA,False,True,True,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,18,GLTSCR2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,19,TCF7,False,False,False,True
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,20,ZFP36L2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,21,S1PR1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,22,SNHG8,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,23,NELL2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,24,PFDN5,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,25,NPM1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,26,TMEM123,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,27,UBA52,False,True,True,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,28,KLF3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,29,TOB1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,30,FAM177A1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,31,CD28,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,32,AREG,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,33,ICAM2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,34,CAMK4,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,35,FLT3LG,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,36,SF1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,37,CSRNP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,38,GADD45B,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,39,SOCS3,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,40,BTG2,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,41,ANXA1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,42,NOSIP,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,43,SOCS1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,44,HINT1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,45,CD48,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,46,FAM65B,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,47,DUSP1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,48,FCMR,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,49,TXNIP,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,regex_mask,50,SATB1,False,False,False,False
CD8,CD8.c01.Tn.MAL,CD8_Naive,full_core,1,IL7R,False,False,False,True
