Dataset,Pipeline,PredictionColumn,N_clusters,N_eval,MeanSanno,MeanSanno_CI_Low,MeanSanno_CI_High,MeanSanno_pct,MeanSanno_CI_Low_pct,MeanSanno_CI_High_pct,FracScoreEq1,FracScoreEq1_pct,FracScoreGe0_5,FracScoreGe0_5_pct,ExactMatch,ExactMatch_pct,MajorLineageAcc,MajorLineageAcc_pct,PredState_Other_Rate,PredState_Other_Rate_pct
CD8,Standard,Standard_Answer,17,17,0.752941176,0.558823529,0.911764706,75.29411765,55.88235294,91.17647059,0.588235294,58.82352941,0.823529412,82.35294118,0.647058824,64.70588235,0.941176471,94.11764706,0.176470588,17.64705882
CD8,Curated,Curated_Answer,17,17,0.817647059,0.682352941,0.923529412,81.76470588,68.23529412,92.35294118,0.529411765,52.94117647,0.941176471,94.11764706,0.529411765,52.94117647,0.941176471,94.11764706,0.235294118,23.52941176
CD8,CellTypist,CellTypist_Answer,17,17,0.735294118,0.7,0.788235294,73.52941176,70,78.82352941,0.117647059,11.76470588,1,100,0.117647059,11.76470588,1,100,0.176470588,17.64705882
CD8,SingleR,SingleR_Answer,17,17,0.858823529,0.788235294,0.929411765,85.88235294,78.82352941,92.94117647,0.529411765,52.94117647,1,100,0.529411765,52.94117647,1,100,0.117647059,11.76470588
CD8,Azimuth,Azimuth_Answer,17,17,0.835294118,0.7,0.947058824,83.52941176,70,94.70588235,0.588235294,58.82352941,0.941176471,94.11764706,0.588235294,58.82352941,1,100,0.117647059,11.76470588
CD4,Standard,Standard_Answer,22,22,0.75,0.595340909,0.886363636,75,59.53409091,88.63636364,0.545454545,54.54545455,0.818181818,81.81818182,0.590909091,59.09090909,0.954545455,95.45454545,0.045454545,4.545454545
CD4,Curated,Curated_Answer,22,22,0.85,0.781818182,0.918181818,85,78.18181818,91.81818182,0.5,50,1,100,0.5,50,1,100,0.045454545,4.545454545
CD4,CellTypist,CellTypist_Answer,22,22,0.863636364,0.809090909,0.931818182,86.36363636,80.90909091,93.18181818,0.545454545,54.54545455,1,100,0.545454545,54.54545455,1,100,0.045454545,4.545454545
CD4,SingleR,SingleR_Answer,22,22,0.604545455,0.486363636,0.713636364,60.45454545,48.63636364,71.36363636,0.136363636,13.63636364,0.727272727,72.72727273,0.318181818,31.81818182,1,100,0.090909091,9.090909091
CD4,Azimuth,Azimuth_Answer,22,22,0.863636364,0.795454545,0.931818182,86.36363636,79.54545455,93.18181818,0.545454545,54.54545455,1,100,0.545454545,54.54545455,1,100,0,0
MSC,Standard,Standard_Answer,8,8,0.80625,0.5625,0.98125,80.625,56.25,98.125,0.625,62.5,0.75,75,0.75,75,1,100,0.125,12.5
MSC,Curated,Curated_Answer,8,8,0.89375,0.71875,1,89.375,71.875,100,0.75,75,0.875,87.5,0.875,87.5,1,100,0.125,12.5
MSC,CellTypist,CellTypist_Answer,8,8,0.825,0.65,1,82.5,65,100,0.75,75,0.75,75,0.75,75,1,100,0.25,25
MSC,SingleR,SingleR_Answer,8,8,0.24375,0.1875,0.28125,24.375,18.75,28.125,0,0,0,0,0,0,0.625,62.5,1,100
MSC,Azimuth,Azimuth_Answer,8,8,0.825,0.65,1,82.5,65,100,0.75,75,0.75,75,0.75,75,1,100,0.25,25
MOUSE_B,Standard,Standard_Answer,5,4,1,1,1,100,100,100,1,100,1,100,1,100,1,100,0,0
MOUSE_B,Curated,Curated_Answer,5,4,1,1,1,100,100,100,1,100,1,100,1,100,1,100,0,0
MOUSE_B,CellTypist,CellTypist_Answer,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
MOUSE_B,SingleR,SingleR_Answer,5,4,0.7,0.3,1,70,30,100,0.6,60,0.8,80,0.75,75,0.75,75,0.25,25
MOUSE_B,Azimuth,Azimuth_Answer,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
